"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000033730"	91.2606033440981	-1.22035607155623	0.306526128646001	1.04404342821684e-08	0.000106432853638151
"ENSMUSG00000021250"	423.164226234169	-0.97884156276905	0.295827624148708	1.27464495375031e-08	0.000106432853638151
"ENSMUSG00000102990"	1323.80835271738	1.01004801695454	0.341266224376366	4.63315855530607e-08	0.000193434369684028
"ENSMUSG00000023034"	906.331444067563	-1.02427927663635	0.33660321998483	3.93623390784834e-08	0.000193434369684028
"ENSMUSG00000052837"	330.833684252726	-1.01963342457687	0.390756574443137	1.30901392497124e-07	0.000437210650940393
"ENSMUSG00000028341"	355.561714119677	-0.758930568303501	0.407803538899346	8.32278768446081e-07	0.00198557934757851
"ENSMUSG00000095098"	751.263792215	-0.397541023282814	0.11430519743106	7.41168531095809e-07	0.00198557934757851
"ENSMUSG00000025402"	366.763825506922	-0.530117412080613	0.260179681086181	9.69740414599206e-07	0.00202433311547584
"ENSMUSG00000024190"	680.584876597453	-0.515090841122255	0.253356342191184	1.1811336018799e-06	0.0021916590168216
"ENSMUSG00000034892"	1153.37016438269	-0.509949775199496	0.28044552357158	2.45434641346467e-06	0.004098758510486
"ENSMUSG00000090247"	119.744623822959	-0.558218206752407	0.343529798096567	3.0946717755564e-06	0.00469827442289018
"ENSMUSG00000029561"	417.815643936263	0.413504823195529	0.177777735025525	4.29339696079181e-06	0.00595566018975418
"ENSMUSG00000067288"	721.749192161832	-0.373622583298602	0.122549986707188	4.6361426626829e-06	0.00595566018975418
"ENSMUSG00000086449"	54.4261178895026	0.513922231701472	0.359846689828993	7.46313399639394e-06	0.00755950636031145
"ENSMUSG00000025515"	286.576118026131	-0.540484739738006	0.38868637980254	7.01831166261545e-06	0.00755950636031145
"ENSMUSG00000035621"	1565.79280436453	-0.375064841057479	0.134510239736091	6.92496414259742e-06	0.00755950636031145
"ENSMUSG00000119577"	1074.48537371539	-0.52696365111543	0.380286796670074	7.69530587576614e-06	0.00755950636031145
"ENSMUSG00000004366"	93.4971159452997	0.551181429295405	0.4341136277107	9.0503198760739e-06	0.00839668566280189
